Case,Area_sqft,Area_acre,Left_extent,Lower_extent,Right_extent,Upper_extent
GWpath,10918850.404647984,250.66404873950376,5663484.8137795245,19622042.007492844,5667276.081496061,19626597.070484973
Modpath6,9359443.762973258,214.8647504665771,5663596.488198667,19622150.327598542,5667162.882250177,19626018.175882827
