ParticleID,GroupNumber,Grid,Layer,Row,Column,LocalX,LocalY,LocalZ,ReleaseTime,Label,x,y
1,1,1,1,30,25,0.8125,0.5,0.5,0,GP01,3970.0,3360.0
2,1,1,1,30,25,0.8118833526338335,0.5196220373529116,0.5,0,GP01,3969.9013364214134,3363.139525976466
3,1,1,1,30,25,0.8100358441607739,0.5391666354888457,0.5,0,GP01,3969.605735065724,3366.2666616782153
4,1,1,1,30,25,0.8069647658527146,0.5585566608080399,0.5,0,GP01,3969.1143625364343,3369.3690657292864
5,1,1,1,30,25,0.8026822378526959,0.5777155897390174,0.5,0,GP01,3968.4291580564313,3372.434494358243
6,1,1,1,30,25,0.7972051613422366,0.5965678107421695,0.5,0,GP01,3967.552825814758,3375.4508497187476
7,1,1,1,30,25,0.7905551518400784,0.6150389227139612,0.5,0,GP01,3966.4888242944126,3378.406227634234
8,1,1,1,30,25,0.7827584538956301,0.6330560286140894,0.5,0,GP01,3965.241352623301,3381.288964578254
9,1,1,1,30,25,0.7738458375137072,0.6505480231567844,0.5,0,GP01,3963.815334002193,3384.087683705086
10,1,1,1,30,25,0.7638524767193786,0.6674458734309383,0.5,0,GP01,3962.2163962751006,3386.7913397489497
11,1,1,1,30,25,0.7528178107421724,0.6836828913413967,0.5,0,GP01,3960.4508497187476,3389.3892626146235
12,1,1,1,30,25,0.7407853883674335,0.6991949967964615,0.5,0,GP01,3958.5256621387894,3391.8711994874343
13,1,1,1,30,25,0.7278026960691903,0.7139209706027145,0.5,0,GP01,3956.4484313710705,3394.2273552964343
14,1,1,1,30,25,0.7139209706027145,0.7278026960691932,0.5,0,GP01,3954.2273552964343,3396.4484313710705
15,1,1,1,30,25,0.6991949967964644,0.7407853883674307,0.5,0,GP01,3951.8711994874343,3398.5256621387894
16,1,1,1,30,25,0.6836828913413967,0.7528178107421695,0.5,0,GP01,3949.3892626146235,3400.4508497187476
17,1,1,1,30,25,0.6674458734309354,0.7638524767193757,0.5,0,GP01,3946.7913397489497,3402.2163962751006
18,1,1,1,30,25,0.6505480231567873,0.7738458375137043,0.5,0,GP01,3944.087683705086,3403.815334002193
19,1,1,1,30,25,0.6330560286140866,0.782758453895633,0.5,0,GP01,3941.288964578254,3405.241352623301
20,1,1,1,30,25,0.6150389227139612,0.7905551518400784,0.5,0,GP01,3938.406227634234,3406.4888242944126
21,1,1,1,30,25,0.5965678107421724,0.7972051613422366,0.5,0,GP01,3935.4508497187476,3407.552825814758
22,1,1,1,30,25,0.5777155897390174,0.8026822378526959,0.5,0,GP01,3932.434494358243,3408.4291580564313
23,1,1,1,30,25,0.5585566608080399,0.8069647658527174,0.5,0,GP01,3929.3690657292864,3409.1143625364343
24,1,1,1,30,25,0.5391666354888457,0.8100358441607739,0.5,0,GP01,3926.2666616782153,3409.605735065724
25,1,1,1,30,25,0.5196220373529116,0.8118833526338335,0.5,0,GP01,3923.139525976466,3409.9013364214134
26,1,1,1,30,25,0.5,0.8125,0.5,0,GP01,3920.0,3410.0
27,1,1,1,30,25,0.48037796264708843,0.8118833526338335,0.5,0,GP01,3916.860474023534,3409.9013364214134
28,1,1,1,30,25,0.4608333645111543,0.8100358441607739,0.5,0,GP01,3913.7333383217847,3409.605735065724
29,1,1,1,30,25,0.44144333919196016,0.8069647658527174,0.5,0,GP01,3910.6309342707136,3409.1143625364343
30,1,1,1,30,25,0.4222844102609827,0.8026822378526959,0.5,0,GP01,3907.565505641757,3408.4291580564313
31,1,1,1,30,25,0.40343218925782764,0.7972051613422366,0.5,0,GP01,3904.5491502812524,3407.552825814758
32,1,1,1,30,25,0.38496107728603873,0.7905551518400784,0.5,0,GP01,3901.593772365766,3406.4888242944126
33,1,1,1,30,25,0.3669439713859134,0.782758453895633,0.5,0,GP01,3898.711035421746,3405.241352623301
34,1,1,1,30,25,0.3494519768432127,0.7738458375137043,0.5,0,GP01,3895.912316294914,3403.815334002193
35,1,1,1,30,25,0.3325541265690646,0.7638524767193757,0.5,0,GP01,3893.2086602510503,3402.2163962751006
36,1,1,1,30,25,0.3163171086586033,0.7528178107421695,0.5,0,GP01,3890.6107373853765,3400.4508497187476
37,1,1,1,30,25,0.30080500320353565,0.7407853883674307,0.5,0,GP01,3888.1288005125657,3398.5256621387894
38,1,1,1,30,25,0.28607902939728547,0.7278026960691932,0.5,0,GP01,3885.7726447035657,3396.4484313710705
39,1,1,1,30,25,0.27219730393080965,0.7139209706027145,0.5,0,GP01,3883.5515686289295,3394.2273552964343
40,1,1,1,30,25,0.25921461163256654,0.6991949967964615,0.5,0,GP01,3881.4743378612106,3391.8711994874343
41,1,1,1,30,25,0.24718218925782764,0.6836828913413967,0.5,0,GP01,3879.5491502812524,3389.3892626146235
42,1,1,1,30,25,0.23614752328062139,0.6674458734309383,0.5,0,GP01,3877.7836037248994,3386.7913397489497
43,1,1,1,30,25,0.2261541624862929,0.6505480231567844,0.5,0,GP01,3876.184665997807,3384.087683705086
44,1,1,1,30,25,0.21724154610436983,0.6330560286140837,0.5,0,GP01,3874.758647376699,3381.2889645782534
45,1,1,1,30,25,0.20944484815992154,0.6150389227139612,0.5,0,GP01,3873.5111757055874,3378.406227634234
46,1,1,1,30,25,0.20279483865776343,0.5965678107421695,0.5,0,GP01,3872.447174185242,3375.450849718747
47,1,1,1,30,25,0.19731776214730418,0.5777155897390174,0.5,0,GP01,3871.5708419435687,3372.434494358243
48,1,1,1,30,25,0.19303523414728546,0.5585566608080399,0.5,0,GP01,3870.8856374635657,3369.3690657292864
